"Combined_Key","Last_Update","Confirmed","Deaths","Recovered","Incident_Rate","Case_Fatality_Ratio"
Afghanistan,"2021-04-01 04:27:05",56454,2484,51550,145.02030795507056,4.400042512488043
Albania,"2021-04-01 04:27:05",125157,2235,91271,4349.0513586767665,1.7857570890960952
Algeria,"2021-04-01 04:27:05",117192,3093,81538,267.2501997272904,2.639258652467745
Andorra,"2021-04-01 04:27:05",12010,115,11315,15543.907331909662,0.9575353871773522
Angola,"2021-04-01 04:27:05",22311,537,20493,67.88419056279831,2.4068844964367346
Antigua and Barbuda,"2021-04-01 04:27:05",1136,28,820,1160.0359447757535,2.4647887323943656
Argentina,"2021-04-01 04:27:05",2348821,55858,2102616,5196.9921880090715,2.378129282733763
Armenia,"2021-04-01 04:27:05",192639,3515,173064,6500.971573625303,1.8246564818131323
"Australian Capital Territory, Australia","2021-04-01 04:27:05",123,3,120,28.73160476524177,2.4390243902439024
"New South Wales, Australia","2021-04-01 04:27:05",5296,54,0,65.23774328652378,1.0196374622356494
"Northern Territory, Australia","2021-04-01 04:27:05",108,0,106,43.97394136807819,0.0
"Queensland, Australia","2021-04-01 04:27:05",1477,6,1343,28.87303293910664,0.4062288422477996
"South Australia, Australia","2021-04-01 04:27:05",656,4,640,37.34699686877313,0.6097560975609756
"Tasmania, Australia","2021-04-01 04:27:05",234,13,221,43.69747899159664,5.5555555555555545
"Victoria, Australia","2021-04-01 04:27:05",20484,820,19664,308.96393610763363,4.003124389767623
"Western Australia, Australia","2021-04-01 04:27:05",944,9,918,35.88534934995818,0.9533898305084746
Austria,"2021-04-01 04:27:05",546229,9339,501116,6064.8982945461,1.7097224790335188
Azerbaijan,"2021-04-01 04:27:05",261713,3567,238125,2581.206064595985,1.362943376905236
Bahamas,"2021-04-01 04:27:05",9119,188,8597,2318.892912360648,2.061629564645246
Bahrain,"2021-04-01 04:27:05",144445,521,135315,8488.860079114565,0.3606909204195369
Bangladesh,"2021-04-01 04:27:05",611295,9046,542099,371.18057573875296,1.4798092573961834
Barbados,"2021-04-01 04:27:05",3652,42,3465,1270.8310859481298,1.1500547645125958
Belarus,"2021-04-01 04:27:05",321807,2247,312320,3405.609778734366,0.6982446000242382
"Antwerp, Belgium","2021-04-01 04:27:05",112081,0,0,6032.392063234061,0.0
"Brussels, Belgium","2021-04-01 04:27:05",109550,0,0,9064.641526732212,0.0
"East Flanders, Belgium","2021-04-01 04:27:05",99902,0,0,6593.912864407048,0.0
"Flemish Brabant, Belgium","2021-04-01 04:27:05",68073,0,0,5939.145418457042,0.0
"Hainaut, Belgium","2021-04-01 04:27:05",131194,0,0,9759.708266598029,0.0
"Liege, Belgium","2021-04-01 04:27:05",112208,0,0,10136.297281281166,0.0
"Limburg, Belgium","2021-04-01 04:27:05",45446,0,0,5199.485611774182,0.0
"Luxembourg, Belgium","2021-04-01 04:27:05",25194,0,0,8851.242630990942,0.0
"Namur, Belgium","2021-04-01 04:27:05",48274,0,0,9765.640014160725,0.0
"Unknown, Belgium","2021-04-01 04:27:05",16530,23016,0,,139.2377495462795
"Walloon Brabant, Belgium","2021-04-01 04:27:05",34071,0,0,8441.794949937934,0.0
"West Flanders, Belgium","2021-04-01 04:27:05",79930,0,0,6684.2504908864075,0.0
Belize,"2021-04-01 04:27:05",12456,317,12090,3132.631324804273,2.5449582530507384
Benin,"2021-04-01 04:27:05",7100,90,6452,58.56540493688218,1.2676056338028172
Bhutan,"2021-04-01 04:27:05",873,1,869,113.13976454487488,0.1145475372279496
Bolivia,"2021-04-01 04:27:05",272411,12257,221962,2333.678773521423,4.499451196904676
Bosnia and Herzegovina,"2021-04-01 04:27:05",169626,6599,130492,5170.239711778933,3.8903234174006345
Botswana,"2021-04-01 04:27:05",39848,568,36958,1694.4878541434116,1.4254165830154588
"Acre, Brazil","2021-04-01 04:27:05",69657,1262,54045,7898.201114594613,1.811734642605912
"Alagoas, Brazil","2021-04-01 04:27:05",153490,3554,144928,4599.148368004981,2.315460290572676
