"personId","tpp","ftp","fgp","ppg","rpg","apg","bpg","mpg","spg","assists","blocks","steals","turnovers","offReb","defReb","totReb","fgm","fga","tpm","tpa","ftm","fta","pFouls","points","gamesPlayed","gamesStarted","plusMinus","min","dd2","td3"
2544,34.5,73.4,50.4,27.0,7.4,7.4,0.8,38.2,1.6,9669,981,2058,4576,1533,8195,9728,12869,25537,1973,5719,7572,10321,2390,35283,1306,1305,7130,49938,507,99
2546,35.1,81.3,44.7,23.2,6.4,2.8,0.5,35.3,1.0,3327,586,1168,2981,1914,5542,7456,9701,21688,1529,4361,6155,7571,3336,27086,1168,1117,1548,41220,172,2
2617,8.6,75.5,48.9,7.6,6.7,0.8,0.3,25.1,0.5,729,249,422,804,1607,4147,5754,2643,5400,5,58,1232,1631,2043,6523,858,500,489,21563,134,0
2730,15.9,56.5,58.6,16.3,12.1,1.4,1.9,32.8,0.9,1615,2173,1037,3225,3965,10106,14071,6857,11701,13,82,5220,9236,3737,18947,1160,1050,2973,38095,738,1
2738,33.3,70.8,46.4,11.7,5.0,4.2,0.5,32.7,1.5,4965,593,1722,2180,1085,4793,5878,4947,10664,1047,3146,2808,3964,2103,13749,1173,781,2906,38388,81,9
2772,35.1,73.1,42.2,10.5,4.8,2.2,0.3,29.7,1.5,2308,336,1589,1445,1048,4113,5161,4017,9514,1540,4388,1680,2297,2138,11254,1071,735,910,31813,41,1
101108,36.9,87.2,47.1,18.4,4.5,9.4,0.1,34.7,2.2,10051,144,2296,2572,685,4139,4824,6873,14593,1439,3897,4377,5020,2613,19562,1066,1066,5403,37025,459,16
101141,36.5,77.6,44.3,10.2,5.7,1.1,0.4,23.2,0.7,905,290,550,784,1391,3243,4634,3103,6998,865,2372,1230,1585,1968,8301,812,423,-38,18828,100,0
101150,35.0,84.1,42.0,14.4,2.3,3.5,0.2,24.7,0.9,3603,187,916,1811,409,1938,2347,4838,11509,1396,3990,3928,4671,1371,15000,1043,121,529,25798,21,1
200746,31.7,81.1,49.1,19.4,8.3,2.0,1.1,34.2,0.7,2021,1129,741,1592,2701,5753,8454,8034,16366,209,659,3610,4451,2509,19887,1024,980,2741,35061,352,0
200752,34.9,79.9,45.4,16.9,5.9,2.2,0.8,32.7,1.2,2135,742,1171,2136,1349,4417,5766,6292,13847,1040,2978,2979,3730,2314,16603,984,777,-362,32166,85,0
200755,41.5,89.2,44.7,12.9,2.0,2.0,0.1,25.7,0.4,1851,87,418,1029,171,1720,1891,3990,8923,1935,4666,2056,2305,1404,11971,927,488,2698,23818,1,0
200765,31.9,60.6,45.7,10.0,4.7,8.1,0.1,30.6,1.6,7310,117,1470,2478,881,3305,4186,3767,8235,399,1252,1082,1785,1913,9015,900,731,1366,27504,236,32
200768,36.7,81.2,42.4,14.8,4.4,6.2,0.3,31.7,1.3,5941,277,1278,2236,769,3389,4158,4534,10703,1802,4905,3275,4035,2613,14145,953,717,2562,30228,149,18
200782,35.8,74.9,42.0,7.2,5.7,1.4,0.3,29.3,1.2,985,225,819,690,1062,2891,3953,1790,4266,717,2001,651,869,1717,4948,689,510,190,20196,40,0
200794,34.6,73.6,49.1,13.8,7.2,2.2,1.0,28.9,1.3,2316,1021,1302,1792,2281,5200,7481,5353,10905,523,1513,3049,4142,3146,14278,1033,743,2752,29822,225,1
201142,38.2,88.2,49.3,27.1,7.1,4.1,1.1,36.8,1.1,3586,968,962,2720,624,5507,6131,8002,16218,1619,4235,5868,6651,1661,23491,868,867,3826,31983,211,12
