"id","county","town","village"
1,南投縣,中寮鄉,中寮村
2,南投縣,中寮鄉,內城村
3,南投縣,中寮鄉,八仙村
4,南投縣,中寮鄉,和興村
5,南投縣,中寮鄉,崁頂村
6,南投縣,中寮鄉,廣福村
7,南投縣,中寮鄉,廣興村
8,南投縣,中寮鄉,復興村
9,南投縣,中寮鄉,永和村
10,南投縣,中寮鄉,永平村
11,南投縣,中寮鄉,永福村
12,南投縣,中寮鄉,永芳村
13,南投縣,中寮鄉,清水村
14,南投縣,中寮鄉,爽文村
15,南投縣,中寮鄉,福盛村
16,南投縣,中寮鄉,義和村
17,南投縣,中寮鄉,龍安村
18,南投縣,中寮鄉,龍岩村
19,南投縣,仁愛鄉,中正村
20,南投縣,仁愛鄉,互助村
21,南投縣,仁愛鄉,力行村
22,南投縣,仁愛鄉,南豐村
23,南投縣,仁愛鄉,合作村
24,南投縣,仁愛鄉,大同村
25,南投縣,仁愛鄉,新生村
26,南投縣,仁愛鄉,春陽村
27,南投縣,仁愛鄉,榮興村
28,南投縣,仁愛鄉,法治村
29,南投縣,仁愛鄉,發祥村
30,南投縣,仁愛鄉,精英村
31,南投縣,仁愛鄉,翠華村
32,南投縣,仁愛鄉,萬豐村
33,南投縣,仁愛鄉,親愛村
34,南投縣,仁愛鄉,都達村
35,南投縣,信義鄉,人和村
36,南投縣,信義鄉,同富村
37,南投縣,信義鄉,地利村
38,南投縣,信義鄉,愛國村
39,南投縣,信義鄉,新鄉村
40,南投縣,信義鄉,明德村
41,南投縣,信義鄉,望美村
42,南投縣,信義鄉,東埔村
43,南投縣,信義鄉,潭南村
44,南投縣,信義鄉,神木村
45,南投縣,信義鄉,羅娜村
46,南投縣,信義鄉,自強村
47,南投縣,信義鄉,豐丘村
48,南投縣,信義鄉,雙龍村
49,南投縣,南投市,三和里
50,南投縣,南投市,三民里
51,南投縣,南投市,三興里
52,南投縣,南投市,仁和里
53,南投縣,南投市,光明里
54,南投縣,南投市,光榮里
55,南投縣,南投市,光華里
56,南投縣,南投市,光輝里
57,南投縣,南投市,內新里
58,南投縣,南投市,內興里
59,南投縣,南投市,千秋里
60,南投縣,南投市,南投里
61,南投縣,南投市,嘉和里
62,南投縣,南投市,嘉興里
63,南投縣,南投市,崇文里
64,南投縣,南投市,平和里
65,南投縣,南投市,平山里
66,南投縣,南投市,康壽里
67,南投縣,南投市,彰仁里
68,南投縣,南投市,振興里
69,南投縣,南投市,新興里
70,南投縣,南投市,東山里
71,南投縣,南投市,永興里
72,南投縣,南投市,永豐里
73,南投縣,南投市,漳和里
74,南投縣,南投市,漳興里
75,南投縣,南投市,營北里
76,南投縣,南投市,營南里
77,南投縣,南投市,福山里
78,南投縣,南投市,福興里
79,南投縣,南投市,軍功里
80,南投縣,南投市,鳳山里
81,南投縣,南投市,鳳鳴里
82,南投縣,南投市,龍泉里
83,南投縣,名間鄉,三崙村
84,南投縣,名間鄉,中山村
85,南投縣,名間鄉,中正村
86,南投縣,名間鄉,仁和村
87,南投縣,名間鄉,南雅村
88,南投縣,名間鄉,埔中村
89,南投縣,名間鄉,大坑村
90,南投縣,名間鄉,大庄村
91,南投縣,名間鄉,崁腳村
92,南投縣,名間鄉,廍下村
93,南投縣,名間鄉,新光村
94,南投縣,名間鄉,新厝村
95,南投縣,名間鄉,新民村
96,南投縣,名間鄉,新街村
97,南投縣,名間鄉,東湖村
98,南投縣,名間鄉,松山村
99,南投縣,名間鄉,松柏村
100,南投縣,名間鄉,濁水村
101,南投縣,名間鄉,炭寮村
102,南投縣,名間鄉,田仔村
103,南投縣,名間鄉,竹圍村
104,南投縣,名間鄉,萬丹村
105,南投縣,名間鄉,赤水村
106,南投縣,國姓鄉,乾溝村
107,南投縣,國姓鄉,北山村
108,南投縣,國姓鄉,北港村
109,南投縣,國姓鄉,南港村
110,南投縣,國姓鄉,國姓村
111,南投縣,國姓鄉,大旗村
112,南投縣,國姓鄉,大石村
113,南投縣,國姓鄉,柑林村
114,南投縣,國姓鄉,石門村
115,南投縣,國姓鄉,福龜村
116,南投縣,國姓鄉,長流村
117,南投縣,國姓鄉,長福村
118,南投縣,國姓鄉,長豐村
119,南投縣,埔里鎮,一新里
120,南投縣,埔里鎮,北安里
121,南投縣,埔里鎮,北梅里
122,南投縣,埔里鎮,北門里
123,南投縣,埔里鎮,南村里
124,南投縣,埔里鎮,南門里
125,南投縣,埔里鎮,史港里
126,南投縣,埔里鎮,合成里
127,南投縣,埔里鎮,同聲里
128,南投縣,埔里鎮,向善里
129,南投縣,埔里鎮,大城里
130,南投縣,埔里鎮,大湳里
131,南投縣,埔里鎮,廣成里
132,南投縣,埔里鎮,愛蘭里
133,南投縣,埔里鎮,成功里
134,南投縣,埔里鎮,房里里
135,南投縣,埔里鎮,東門里
136,南投縣,埔里鎮,杷城里
137,南投縣,埔里鎮,枇杷里
138,南投縣,埔里鎮,桃米里
139,南投縣,埔里鎮,水頭里
140,南投縣,埔里鎮,泰安里
141,南投縣,埔里鎮,清新里
142,南投縣,埔里鎮,溪南里
143,南投縣,埔里鎮,牛眠里
144,南投縣,埔里鎮,珠格里
145,南投縣,埔里鎮,福興里
146,南投縣,埔里鎮,籃城里
147,南投縣,埔里鎮,薰化里
148,南投縣,埔里鎮,蜈蚣里
149,南投縣,埔里鎮,西門里
150,南投縣,埔里鎮,鐵山里
151,南投縣,埔里鎮,麒麟里
152,南投縣,水里鄉,上安村
153,南投縣,水里鄉,中央村
154,南投縣,水里鄉,北埔村
155,南投縣,水里鄉,南光村
156,南投縣,水里鄉,城中村
157,南投縣,水里鄉,新城村
158,南投縣,水里鄉,新山村
159,南投縣,水里鄉,新興村
160,南投縣,水里鄉,民和村
161,南投縣,水里鄉,水里村
162,南投縣,水里鄉,永興村
163,南投縣,水里鄉,永豐村
164,南投縣,水里鄉,玉峰村
165,南投縣,水里鄉,興隆村
166,南投縣,水里鄉,車埕村
167,南投縣,水里鄉,農富村
168,南投縣,水里鄉,郡坑村
169,南投縣,水里鄉,鉅工村
170,南投縣,水里鄉,頂崁村
171,南投縣,竹山鎮,下坪里
172,南投縣,竹山鎮,中和里
173,南投縣,竹山鎮,中央里
174,南投縣,竹山鎮,中山里
175,南投縣,竹山鎮,中崎里
176,南投縣,竹山鎮,中正里
177,南投縣,竹山鎮,坪頂里
178,南投縣,竹山鎮,大鞍里
179,南投縣,竹山鎮,富州里
180,南投縣,竹山鎮,山崇里
181,南投縣,竹山鎮,延和里
182,南投縣,竹山鎮,延山里
183,南投縣,竹山鎮,延平里
184,南投縣,竹山鎮,延正里
185,南投縣,竹山鎮,延祥里
186,南投縣,竹山鎮,德興里
187,南投縣,竹山鎮,桂林里
188,南投縣,竹山鎮,桶頭里
189,南投縣,竹山鎮,瑞竹里
190,南投縣,竹山鎮,田子里
191,南投縣,竹山鎮,硘磘里
192,南投縣,竹山鎮,社寮里
193,南投縣,竹山鎮,福興里
194,南投縣,竹山鎮,秀林里
195,南投縣,竹山鎮,竹圍里
196,南投縣,竹山鎮,竹山里
197,南投縣,竹山鎮,雲林里
198,南投縣,竹山鎮,鯉魚里
199,南投縣,草屯鎮,上林里
200,南投縣,草屯鎮,中原里
201,南投縣,草屯鎮,中山里
202,南投縣,草屯鎮,中正里
203,南投縣,草屯鎮,加老里
204,南投縣,草屯鎮,北勢里
205,南投縣,草屯鎮,北投里
206,南投縣,草屯鎮,南埔里
207,南投縣,草屯鎮,和平里
208,南投縣,草屯鎮,土城里
209,南投縣,草屯鎮,坪頂里
210,南投縣,草屯鎮,富寮里
211,南投縣,草屯鎮,山腳里
212,南投縣,草屯鎮,平林里
213,南投縣,草屯鎮,御史里
214,南投縣,草屯鎮,復興里
215,南投縣,草屯鎮,敦和里
216,南投縣,草屯鎮,新厝里
217,南投縣,草屯鎮,新庄里
218,南投縣,草屯鎮,新豐里
219,南投縣,草屯鎮,明正里
220,南投縣,草屯鎮,炎峰里
221,南投縣,草屯鎮,玉峰里
222,南投縣,草屯鎮,石川里
223,南投縣,草屯鎮,碧峰里
224,南投縣,草屯鎮,碧洲里
225,南投縣,草屯鎮,雙冬里
226,南投縣,集集鎮,八張里
227,南投縣,集集鎮,吳厝里
228,南投縣,集集鎮,和平里
229,南投縣,集集鎮,富山里
230,南投縣,集集鎮,廣明里
231,南投縣,集集鎮,林尾里
232,南投縣,集集鎮,永昌里
233,南投縣,集集鎮,玉映里
234,南投縣,集集鎮,田寮里
235,南投縣,集集鎮,隘寮里
236,南投縣,集集鎮,集集里
237,南投縣,魚池鄉,中明村
238,南投縣,魚池鄉,五城村
239,南投縣,魚池鄉,共和村
240,南投縣,魚池鄉,大林村
241,南投縣,魚池鄉,大雁村
242,南投縣,魚池鄉,新城村
243,南投縣,魚池鄉,新城村、共和村
244,南投縣,魚池鄉,日月村
245,南投縣,魚池鄉,東光村
246,南投縣,魚池鄉,東池村
247,南投縣,魚池鄉,武登村
248,南投縣,魚池鄉,水社村
249,南投縣,魚池鄉,頭社村
250,南投縣,魚池鄉,魚池村
251,南投縣,鹿谷鄉,內湖村
252,南投縣,鹿谷鄉,初鄉村
253,南投縣,鹿谷鄉,和雅村
254,南投縣,鹿谷鄉,廣興村
255,南投縣,鹿谷鄉,彰雅村
256,南投縣,鹿谷鄉,永隆村
257,南投縣,鹿谷鄉,清水村
258,南投縣,鹿谷鄉,瑞田村
259,南投縣,鹿谷鄉,秀峰村
260,南投縣,鹿谷鄉,竹林村
261,南投縣,鹿谷鄉,竹豐村
262,南投縣,鹿谷鄉,鳳凰村
263,南投縣,鹿谷鄉,鹿谷村
264,嘉義市,東區,中央里
265,嘉義市,東區,中山里
266,嘉義市,東區,中庄里
267,嘉義市,東區,仁義里
268,嘉義市,東區,北門里
269,嘉義市,東區,圳頭里
270,嘉義市,東區,太平里
271,嘉義市,東區,安寮里
272,嘉義市,東區,安業里
273,嘉義市,東區,宣信里
274,嘉義市,東區,後庄里
275,嘉義市,東區,後湖里
276,嘉義市,東區,文雅里
277,嘉義市,東區,新店里
278,嘉義市,東區,新開里
279,嘉義市,東區,朝陽里
280,嘉義市,東區,東區各里平地、山地原住民
281,嘉義市,東區,東川里
282,嘉義市,東區,東興里
283,嘉義市,東區,林森里
284,嘉義市,東區,民族里
285,嘉義市,東區,王田里
286,嘉義市,東區,盧厝里
287,嘉義市,東區,短竹里
288,嘉義市,東區,義教里
289,嘉義市,東區,興仁里
290,嘉義市,東區,興南里
291,嘉義市,東區,興安里
292,嘉義市,東區,興村里
293,嘉義市,東區,芳安里
294,嘉義市,東區,芳草里
295,嘉義市,東區,荖藤里
296,嘉義市,東區,華南里
297,嘉義市,東區,蘭潭里
298,嘉義市,東區,豐年里
299,嘉義市,東區,過溝里
300,嘉義市,東區,長竹里
301,嘉義市,東區,頂寮里
302,嘉義市,東區,頂庄里
303,嘉義市,東區,鹿寮里
304,嘉義市,西區,下埤里
305,嘉義市,西區,保安里
306,嘉義市,西區,保生里
307,嘉義市,西區,保福里
308,嘉義市,西區,光路里
309,嘉義市,西區,劉厝里
310,嘉義市,西區,北新里
311,嘉義市,西區,北榮里
312,嘉義市,西區,北湖里
313,嘉義市,西區,國華里
314,嘉義市,西區,垂楊里
315,嘉義市,西區,培元里
316,嘉義市,西區,大溪里
317,嘉義市,西區,導明里
318,嘉義市,西區,後驛里
319,嘉義市,西區,慶安里
320,嘉義市,西區,文化里
321,嘉義市,西區,新厝里
322,嘉義市,西區,新富里
323,嘉義市,西區,新西里
324,嘉義市,西區,書院里
325,嘉義市,西區,永和里
326,嘉義市,西區,港坪里
327,嘉義市,西區,湖內里
328,嘉義市,西區,湖邊里
329,嘉義市,西區,獅子里
330,嘉義市,西區,番社里
331,嘉義市,西區,磚磘里
332,嘉義市,西區,福全里
333,嘉義市,西區,福安里
334,嘉義市,西區,福民里
335,嘉義市,西區,竹圍里
336,嘉義市,西區,竹村里
337,嘉義市,西區,紅瓦里
338,嘉義市,西區,美源里
339,嘉義市,西區,翠岱里
340,嘉義市,西區,育英里
341,嘉義市,西區,自強里
342,嘉義市,西區,致遠里
343,嘉義市,西區,西區各里平地、山地原住民
344,嘉義市,西區,西平里
345,嘉義市,西區,西榮里
346,嘉義市,西區,車店里
347,嘉義市,西區,重興里
348,嘉義市,西區,頭港里
349,嘉義市,西區,香湖里
350,嘉義縣,中埔鄉,三層村
351,嘉義縣,中埔鄉,中埔村
352,嘉義縣,中埔鄉,中崙村
353,嘉義縣,中埔鄉,同仁村
354,嘉義縣,中埔鄉,和睦村
355,嘉義縣,中埔鄉,和美村
356,嘉義縣,中埔鄉,和興村
357,嘉義縣,中埔鄉,塩舘村
358,嘉義縣,中埔鄉,富收村
359,嘉義縣,中埔鄉,東興村
360,嘉義縣,中埔鄉,沄水村
361,嘉義縣,中埔鄉,深坑村
362,嘉義縣,中埔鄉,灣潭村
363,嘉義縣,中埔鄉,瑞豐村
364,嘉義縣,中埔鄉,石硦村
365,嘉義縣,中埔鄉,社口村
366,嘉義縣,中埔鄉,義仁村
367,嘉義縣,中埔鄉,裕民村
368,嘉義縣,中埔鄉,金蘭村
369,嘉義縣,中埔鄉,隆興村
370,嘉義縣,中埔鄉,頂埔村
371,嘉義縣,中埔鄉,龍門村
372,嘉義縣,六腳鄉,三義村
373,嘉義縣,六腳鄉,六南村
374,嘉義縣,六腳鄉,六斗村
375,嘉義縣,六腳鄉,六腳村
376,嘉義縣,六腳鄉,古林村
377,嘉義縣,六腳鄉,塗師村
378,嘉義縣,六腳鄉,崙陽村
379,嘉義縣,六腳鄉,崩山村
380,嘉義縣,六腳鄉,工廠村
381,嘉義縣,六腳鄉,更寮村
382,嘉義縣,六腳鄉,正義村
383,嘉義縣,六腳鄉,永賢村
384,嘉義縣,六腳鄉,港美村
385,嘉義縣,六腳鄉,溪厝村
386,嘉義縣,六腳鄉,潭墘村
387,嘉義縣,六腳鄉,灣北村
388,嘉義縣,六腳鄉,灣南村
389,嘉義縣,六腳鄉,竹本村
390,嘉義縣,六腳鄉,蒜南村
391,嘉義縣,六腳鄉,蒜東村
392,嘉義縣,六腳鄉,蒜頭村
393,嘉義縣,六腳鄉,蘇厝村
394,嘉義縣,六腳鄉,豐美村
395,嘉義縣,六腳鄉,雙涵村
396,嘉義縣,六腳鄉,魚寮村
397,嘉義縣,大埔鄉,和平村
398,嘉義縣,大埔鄉,大埔村
399,嘉義縣,大埔鄉,永樂村
400,嘉義縣,大埔鄉,茄苳村
401,嘉義縣,大埔鄉,西興村
402,嘉義縣,大林鎮,三和里
403,嘉義縣,大林鎮,三村里
404,嘉義縣,大林鎮,三角里
405,嘉義縣,大林鎮,上林里
406,嘉義縣,大林鎮,中坑里
407,嘉義縣,大林鎮,中林里
408,嘉義縣,大林鎮,內林里
409,嘉義縣,大林鎮,吉林里
410,嘉義縣,大林鎮,大糖里
411,嘉義縣,大林鎮,大美里
412,嘉義縣,大林鎮,平林里
413,嘉義縣,大林鎮,排路里
414,嘉義縣,大林鎮,明和里
415,嘉義縣,大林鎮,明華里
416,嘉義縣,大林鎮,東林里
417,嘉義縣,大林鎮,湖北里
418,嘉義縣,大林鎮,溝背里
419,嘉義縣,大林鎮,義和里
420,嘉義縣,大林鎮,西林里
421,嘉義縣,大林鎮,西結里
422,嘉義縣,大林鎮,過溪里
423,嘉義縣,太保市,前潭里
424,嘉義縣,太保市,北新里
425,嘉義縣,太保市,南新里
426,嘉義縣,太保市,埤鄉里
427,嘉義縣,太保市,太保里
428,嘉義縣,太保市,安仁里
429,嘉義縣,太保市,崙頂里
430,嘉義縣,太保市,後庄里
431,嘉義縣,太保市,後潭里
432,嘉義縣,太保市,新埤里
433,嘉義縣,太保市,春珠里
434,嘉義縣,太保市,東勢里
435,嘉義縣,太保市,梅埔里
436,嘉義縣,太保市,港尾里
437,嘉義縣,太保市,田尾里
438,嘉義縣,太保市,舊埤里
439,嘉義縣,太保市,過溝里
440,嘉義縣,太保市,麻寮里
441,嘉義縣,布袋鎮,中安里
442,嘉義縣,布袋鎮,九龍里
443,嘉義縣,布袋鎮,光復里
444,嘉義縣,布袋鎮,好美里
445,嘉義縣,布袋鎮,岑海里
446,嘉義縣,布袋鎮,岱江里
447,嘉義縣,布袋鎮,復興里
448,嘉義縣,布袋鎮,振寮里
449,嘉義縣,布袋鎮,新厝里
450,嘉義縣,布袋鎮,新岑里
451,嘉義縣,布袋鎮,新民里
452,嘉義縣,布袋鎮,東安里
453,嘉義縣,布袋鎮,東港里
454,嘉義縣,布袋鎮,樹林里
455,嘉義縣,布袋鎮,永安里
456,嘉義縣,布袋鎮,江山里
457,嘉義縣,布袋鎮,考試里
458,嘉義縣,布袋鎮,興中里
459,嘉義縣,布袋鎮,菜舖里
460,嘉義縣,布袋鎮,西安里
461,嘉義縣,布袋鎮,見龍里
462,嘉義縣,布袋鎮,貴舍里
463,嘉義縣,布袋鎮,龍江里
464,嘉義縣,新港鄉,三間村
465,嘉義縣,新港鄉,中庄村
466,嘉義縣,新港鄉,中洋村
467,嘉義縣,新港鄉,共和村
468,嘉義縣,新港鄉,北崙村
469,嘉義縣,新港鄉,南崙村
470,嘉義縣,新港鄉,南港村
471,嘉義縣,新港鄉,古民村
472,嘉義縣,新港鄉,埤子村
473,嘉義縣,新港鄉,大潭村
474,嘉義縣,新港鄉,大興村
475,嘉義縣,新港鄉,安和村
476,嘉義縣,新港鄉,宮前村
477,嘉義縣,新港鄉,宮後村
478,嘉義縣,新港鄉,月潭村
479,嘉義縣,新港鄉,月眉村
480,嘉義縣,新港鄉,板頭村
481,嘉義縣,新港鄉,海瀛村
482,嘉義縣,新港鄉,溪北村
483,嘉義縣,新港鄉,潭大村
484,嘉義縣,新港鄉,福德村
485,嘉義縣,新港鄉,菜公村
486,嘉義縣,新港鄉,西庄村
487,嘉義縣,朴子市,中正里
488,嘉義縣,朴子市,仁和里
489,嘉義縣,朴子市,佳禾里
490,嘉義縣,朴子市,內厝里
491,嘉義縣,朴子市,南竹里
492,嘉義縣,朴子市,博厚里
493,嘉義縣,朴子市,双溪里
494,嘉義縣,朴子市,大葛里
495,嘉義縣,朴子市,大鄉里
496,嘉義縣,朴子市,安福里
497,嘉義縣,朴子市,崁前里
498,嘉義縣,朴子市,崁後里
499,嘉義縣,朴子市,平和里
500,嘉義縣,朴子市,德家里
501,嘉義縣,朴子市,德興里
502,嘉義縣,朴子市,文化里
503,嘉義縣,朴子市,新寮里
504,嘉義縣,朴子市,新庄里
505,嘉義縣,朴子市,松華里
506,嘉義縣,朴子市,梅華里
507,嘉義縣,朴子市,永和里
508,嘉義縣,朴子市,溪口里
509,嘉義縣,朴子市,竹圍里
510,嘉義縣,朴子市,竹村里
511,嘉義縣,朴子市,開元里
512,嘉義縣,朴子市,順天里
513,嘉義縣,朴子市,順安里
514,嘉義縣,東石鄉,三家村
515,嘉義縣,東石鄉,下揖村
516,嘉義縣,東石鄉,副瀨村
517,嘉義縣,東石鄉,圍潭村
518,嘉義縣,東石鄉,型厝村
519,嘉義縣,東石鄉,塭仔村
520,嘉義縣,東石鄉,塭港村
521,嘉義縣,東石鄉,掌潭村
522,嘉義縣,東石鄉,東崙村
523,嘉義縣,東石鄉,東石村
524,嘉義縣,東石鄉,永屯村
525,嘉義縣,東石鄉,洲仔村
526,嘉義縣,東石鄉,海埔村
527,嘉義縣,東石鄉,港口村
528,嘉義縣,東石鄉,港墘村
529,嘉義縣,東石鄉,溪下村
530,嘉義縣,東石鄉,猿樹村
531,嘉義縣,東石鄉,網寮村
532,嘉義縣,東石鄉,蔦松村
533,嘉義縣,東石鄉,西崙村
534,嘉義縣,東石鄉,頂揖村
535,嘉義縣,東石鄉,鰲鼓村
536,嘉義縣,東石鄉,龍港村
537,嘉義縣,梅山鄉,半天村
538,嘉義縣,梅山鄉,双溪村
539,嘉義縣,梅山鄉,圳北村
540,嘉義縣,梅山鄉,圳南村
541,嘉義縣,梅山鄉,大南村
542,嘉義縣,梅山鄉,太和村
543,嘉義縣,梅山鄉,太平村
544,嘉義縣,梅山鄉,太興村
545,嘉義縣,梅山鄉,安靖村
546,嘉義縣,梅山鄉,梅北村
547,嘉義縣,梅山鄉,梅南村
548,嘉義縣,梅山鄉,梅東村
549,嘉義縣,梅山鄉,永興村
550,嘉義縣,梅山鄉,瑞峯村
551,嘉義縣,梅山鄉,瑞里村
552,嘉義縣,梅山鄉,碧湖村
553,嘉義縣,梅山鄉,過山村
554,嘉義縣,梅山鄉,龍眼村
555,嘉義縣,民雄鄉,三興村
556,嘉義縣,民雄鄉,中和村
557,嘉義縣,民雄鄉,中央村
558,嘉義縣,民雄鄉,中樂村
559,嘉義縣,民雄鄉,北斗村
560,嘉義縣,民雄鄉,双福村
561,嘉義縣,民雄鄉,大崎村
562,嘉義縣,民雄鄉,寮頂村
563,嘉義縣,民雄鄉,山中村
564,嘉義縣,民雄鄉,平和村
565,嘉義縣,民雄鄉,文隆村
566,嘉義縣,民雄鄉,東榮村
567,嘉義縣,民雄鄉,東湖村
568,嘉義縣,民雄鄉,東興村
569,嘉義縣,民雄鄉,松山村
570,嘉義縣,民雄鄉,福樂村
571,嘉義縣,民雄鄉,福權村
572,嘉義縣,民雄鄉,福興村
573,嘉義縣,民雄鄉,秀林村
574,嘉義縣,民雄鄉,興中村
575,嘉義縣,民雄鄉,興南村
576,嘉義縣,民雄鄉,菁埔村
577,嘉義縣,民雄鄉,西安村
578,嘉義縣,民雄鄉,西昌村
579,嘉義縣,民雄鄉,豊收村
580,嘉義縣,民雄鄉,金興村
581,嘉義縣,民雄鄉,鎮北村
582,嘉義縣,民雄鄉,頂崙村
583,嘉義縣,水上鄉,三和村
584,嘉義縣,水上鄉,三界村
585,嘉義縣,水上鄉,三鎮村
586,嘉義縣,水上鄉,下寮村
587,嘉義縣,水上鄉,中庄村
588,嘉義縣,水上鄉,內溪村
589,嘉義縣,水上鄉,南和村
590,嘉義縣,水上鄉,南鄉村
591,嘉義縣,水上鄉,回歸村
592,嘉義縣,水上鄉,國姓村
593,嘉義縣,水上鄉,塗溝村
594,嘉義縣,水上鄉,大堀村
595,嘉義縣,水上鄉,大崙村
596,嘉義縣,水上鄉,寬士村
597,嘉義縣,水上鄉,忠和村
598,嘉義縣,水上鄉,柳新村
599,嘉義縣,水上鄉,柳林村
600,嘉義縣,水上鄉,柳鄉村
601,嘉義縣,水上鄉,民生村
602,嘉義縣,水上鄉,水上村
603,嘉義縣,水上鄉,水頭村
604,嘉義縣,水上鄉,溪洲村
605,嘉義縣,水上鄉,粗溪村
606,嘉義縣,水上鄉,義興村
607,嘉義縣,水上鄉,靖和村
608,嘉義縣,水上鄉,龍德村
609,嘉義縣,溪口鄉,坪頂村
610,嘉義縣,溪口鄉,妙崙村
611,嘉義縣,溪口鄉,本厝村
612,嘉義縣,溪口鄉,林腳村
613,嘉義縣,溪口鄉,柳溝村
614,嘉義縣,溪口鄉,柴林村
615,嘉義縣,溪口鄉,游東村
616,嘉義縣,溪口鄉,游西村
617,嘉義縣,溪口鄉,溪北村
618,嘉義縣,溪口鄉,溪東村
619,嘉義縣,溪口鄉,溪西村
620,嘉義縣,溪口鄉,疊溪村
621,嘉義縣,溪口鄉,美北村
622,嘉義縣,溪口鄉,美南村
623,嘉義縣,番路鄉,下坑村
624,嘉義縣,番路鄉,內甕村
625,嘉義縣,番路鄉,公田村
626,嘉義縣,番路鄉,公興村
627,嘉義縣,番路鄉,大湖村
628,嘉義縣,番路鄉,新福村
629,嘉義縣,番路鄉,民和村
630,嘉義縣,番路鄉,江西村
631,嘉義縣,番路鄉,番路村
632,嘉義縣,番路鄉,草山村
633,嘉義縣,番路鄉,觸口村
634,嘉義縣,竹崎鄉,中和村
635,嘉義縣,竹崎鄉,仁壽村
636,嘉義縣,竹崎鄉,光華村
637,嘉義縣,竹崎鄉,內埔村
638,嘉義縣,竹崎鄉,和平村
639,嘉義縣,竹崎鄉,坑頭村
640,嘉義縣,竹崎鄉,塘興村
641,嘉義縣,竹崎鄉,復金村
642,嘉義縣,竹崎鄉,文峯村
643,嘉義縣,竹崎鄉,昇平村
644,嘉義縣,竹崎鄉,桃源村
645,嘉義縣,竹崎鄉,沙坑村
646,嘉義縣,竹崎鄉,灣橋村
647,嘉義縣,竹崎鄉,獅埜村
648,嘉義縣,竹崎鄉,白杞村
649,嘉義縣,竹崎鄉,竹崎村
650,嘉義縣,竹崎鄉,紫雲村
651,嘉義縣,竹崎鄉,緞繻村
652,嘉義縣,竹崎鄉,義仁村
653,嘉義縣,竹崎鄉,義和村
654,嘉義縣,竹崎鄉,義隆村
655,嘉義縣,竹崎鄉,金獅村
656,嘉義縣,竹崎鄉,鹿滿村
657,嘉義縣,竹崎鄉,龍山村
658,嘉義縣,義竹鄉,中平村
659,嘉義縣,義竹鄉,五厝村
660,嘉義縣,義竹鄉,仁里村
661,嘉義縣,義竹鄉,傳芳村
662,嘉義縣,義竹鄉,六桂村
663,嘉義縣,義竹鄉,北華村
664,嘉義縣,義竹鄉,埤前村
665,嘉義縣,義竹鄉,官和村
666,嘉義縣,義竹鄉,官順村
667,嘉義縣,義竹鄉,岸腳村
668,嘉義縣,義竹鄉,平溪村
669,嘉義縣,義竹鄉,後鎮村
670,嘉義縣,義竹鄉,新富村
671,嘉義縣,義竹鄉,新店村
672,嘉義縣,義竹鄉,東光村
673,嘉義縣,義竹鄉,東榮村
674,嘉義縣,義竹鄉,東過村
675,嘉義縣,義竹鄉,溪洲村
676,嘉義縣,義竹鄉,義竹村
677,嘉義縣,義竹鄉,西過村
678,嘉義縣,義竹鄉,頭竹村
679,嘉義縣,義竹鄉,龍蛟村
680,嘉義縣,阿里山鄉,中山村
681,嘉義縣,阿里山鄉,中正村
682,嘉義縣,阿里山鄉,來吉村
683,嘉義縣,阿里山鄉,十字村
684,嘉義縣,阿里山鄉,山美村
685,嘉義縣,阿里山鄉,新美村
686,嘉義縣,阿里山鄉,樂野村
687,嘉義縣,阿里山鄉,茶山村
688,嘉義縣,阿里山鄉,豐山村
689,嘉義縣,阿里山鄉,達邦村
690,嘉義縣,阿里山鄉,里佳村
691,嘉義縣,阿里山鄉,香林村
692,嘉義縣,鹿草鄉,三角村
693,嘉義縣,鹿草鄉,下潭村
694,嘉義縣,鹿草鄉,下麻村
695,嘉義縣,鹿草鄉,光潭村
696,嘉義縣,鹿草鄉,後堀村
697,嘉義縣,鹿草鄉,後寮村
698,嘉義縣,鹿草鄉,施家村
699,嘉義縣,鹿草鄉,松竹村
700,嘉義縣,鹿草鄉,碧潭村
701,嘉義縣,鹿草鄉,竹山村
702,嘉義縣,鹿草鄉,西井村
703,嘉義縣,鹿草鄉,豊稠村
704,嘉義縣,鹿草鄉,重寮村
705,嘉義縣,鹿草鄉,鹿東村
706,嘉義縣,鹿草鄉,鹿草村
707,基隆市,七堵區,八德里
708,基隆市,七堵區,六堵里
709,基隆市,七堵區,友一里
710,基隆市,七堵區,友二里
711,基隆市,七堵區,堵北里
712,基隆市,七堵區,堵南里
713,基隆市,七堵區,富民里
714,基隆市,七堵區,實踐里
715,基隆市,七堵區,正光里
716,基隆市,七堵區,正明里
717,基隆市,七堵區,永安里
718,基隆市,七堵區,永平里
719,基隆市,七堵區,泰安里
720,基隆市,七堵區,瑪南里
