"id","party_id","type","number","candidate"
1,44,總統副總統,"1",宋楚瑜/余湘
2,3,總統副總統,"2",韓國瑜/張善政
3,37,總統副總統,"3",蔡英文/賴清德
4,1,區域立委,"1",郭正典
5,1,區域立委,"2",葉宏仁
6,1,區域立委,"2",蔡宗霖
7,1,區域立委,"3",李婉鈺
8,1,區域立委,"3",林培基
9,1,區域立委,"3",林志文
10,1,區域立委,"4",陳民乾
11,1,區域立委,"5",楊智淵
12,1,區域立委,"5",沈育和
13,1,區域立委,"5",邱一峰
14,1,區域立委,"6",潘偉龍
15,2,區域立委,"2",陳玉鳳
16,3,區域立委,"1",呂玉玲
17,3,區域立委,"1",張嘉郡
18,3,區域立委,"1",張志明
19,3,區域立委,"1",張瀚天
20,3,區域立委,"1",李雅靜
21,3,區域立委,"1",林為洲
22,3,區域立委,"1",林金結
23,3,區域立委,"1",柯呈枋
24,3,區域立委,"1",葉壽山
25,3,區域立委,"1",許淑華
26,3,區域立委,"1",謝衣鳯
27,3,區域立委,"1",邱烽堯
28,3,區域立委,"1",鄭天財Sra．Kacaw
29,3,區域立委,"1",鄭正鈐
30,3,區域立委,"1",陳學聖
31,3,區域立委,"1",陳根德
32,3,區域立委,"1",顏寬恒
33,3,區域立委,"1",馬文君
34,3,區域立委,"1",黃韻涵
35,3,區域立委,"2",周佳琪
36,3,區域立委,"2",宋瑋莉
37,3,區域立委,"2",李彥秀
38,3,區域立委,"2",李武龍
39,3,區域立委,"2",林佳新
40,3,區域立委,"2",柯志恩
41,3,區域立委,"2",歐中慨
42,3,區域立委,"2",江啟臣
43,3,區域立委,"2",洪秀柱
44,3,區域立委,"2",王啓澧
45,3,區域立委,"2",王齡嬌
46,3,區域立委,"2",童小芸
47,3,區域立委,"2",陳麗娜
48,3,區域立委,"2",魯明哲
49,3,區域立委,"2",黃志雄
50,3,區域立委,"2",黃柏霖
51,3,區域立委,"3",林奕華
52,3,區域立委,"3",林思銘
53,3,區域立委,"3",林郁方
54,3,區域立委,"3",沈智慧
55,3,區域立委,"3",羅明才
56,3,區域立委,"3",費鴻泰
57,3,區域立委,"3",陳雪生
58,3,區域立委,"3",黃仁
59,3,區域立委,"3",黃啓嘉
60,3,區域立委,"3",黃桂蘭
61,3,區域立委,"3",黃馨慧
62,3,區域立委,"4",李永萍
63,3,區域立委,"4",林國春
64,3,區域立委,"4",林德福
65,3,區域立委,"4",林燕祝
66,3,區域立委,"4",莊子富
67,3,區域立委,"4",萬美玲
68,3,區域立委,"4",蔡淑惠
69,3,區域立委,"4",蔣萬安
70,3,區域立委,"4",謝淑亞
71,3,區域立委,"4",陳超明
72,3,區域立委,"5",傅大偉
73,3,區域立委,"5",吳志揚
74,3,區域立委,"5",呂國華
75,3,區域立委,"5",孫大千
76,3,區域立委,"5",徐慶煌
77,3,區域立委,"5",李中
78,3,區域立委,"5",蕭景田
79,3,區域立委,"6",徐志榮
80,3,區域立委,"6",楊瓊瓔
81,3,區域立委,"6",賴士葆
82,3,區域立委,"6",黃昭順
83,3,區域立委,"7",汪志冰
84,3,區域立委,"7",洪孟楷
85,3,區域立委,"7",蔡育輝
